"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072521","BP","GO:0072521","purine-containing compound metabolic process","35/638","490/23210",3.08436891493319e-07,0.000754566979377011,0.000632091425105149,"Gnai3/Gnmt/Mlxipl/Ctns/Adssl1/Mocs2/Ddit4/Hint1/Pgam2/Nos2/Ndufb9/App/Uqcc2/Bad/Fam20c/Mpc2/Hmgcl/Ak2/Mthfd2l/Nipsnap2/Acat1/Pkm/Acpp/Nudt16/Htr2a/Bpgm/Oard1/Tspo/Nudt18/Pde1a/Aox1/Aox3/Fbp1/Mlycd/Hmgcs1",35
"GO:0072329","BP","GO:0072329","monocarboxylic acid catabolic process","15/638","112/23210",4.38824103839694e-07,0.000754566979377011,0.000632091425105149,"Pex5/Plin5/Pex7/Acox1/Eci2/Hacl1/Cyp26a1/Echs1/Acadl/Dbi/Akr1a1/Fah/Acat1/Aldh5a1/Mlycd",15
"GO:0044242","BP","GO:0044242","cellular lipid catabolic process","20/638","199/23210",6.67224605691056e-07,0.000754566979377011,0.000632091425105149,"Apoe/Pex5/Plin5/Pex7/Acox1/Eci2/Hacl1/Cyp26a1/Echs1/Acadl/Dbi/Gba/Smpdl3b/Abhd12/Acat1/Smpd1/Pnpla3/Pnpla1/Lipg/Mlycd",20
"GO:0009895","BP","GO:0009895","negative regulation of catabolic process","25/638","294/23210",6.81017129401634e-07,0.000754566979377011,0.000632091425105149,"Cyp51/Hmox1/Hfe/Psen2/Plin5/Atraid/Ddit4/Nos2/Laptm4b/Serpine2/Dbi/Azin2/Usp30/Furin/Hp/Anxa2/Myd88/Qsox1/Ptpn3/Bmf/Tspo/Tent5c/Cirbp/Pkp3/Fbp1",25
"GO:0001818","BP","GO:0001818","negative regulation of cytokine production","23/638","259/23210",8.95888924519481e-07,0.000794115942694068,0.000665221102480044,"Pparg/Hmox1/Prg4/Fbln1/Hfe/Laptm4b/Ndfip1/Anxa1/Pdcd4/Il1r2/Gba/Errfi1/Furin/Jak3/Cd59a/Otud7b/Tspo/Il20rb/Ezr/Bcl3/Selenos/Prnp/Sh2d1b1",23
"GO:0050777","BP","GO:0050777","negative regulation of immune response","17/638","158/23210",1.7798277306519e-06,0.00131469941704154,0.00110130743965075,"Pparg/Hmox1/Hfe/Olfm4/Samsn1/Ndfip1/Anxa1/Ctla4/Pdcd1/Smpdl3b/Il4ra/Jak3/Cd59a/Il20rb/Lgals3/Selenos/Sh2d1b1",17
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","32/638","473/23210",3.14787002720429e-06,0.00199305142293849,0.00166955452420294,"Pparg/Hmox1/Hfe/Cd68/Id2/Nfkbia/Zfp36l1/Olfm4/Samsn1/Ndfip1/Anxa1/Ctla4/Pdcd1/Hc/Smpdl3b/Clec2i/Il4ra/Jak3/Cd59a/Tcta/Il20rb/Gpr68/Gpr55/Il17d/Lgals3/Klf13/Ezr/Tarm1/Zbtb16/Selenos/Prnp/Sh2d1b1",32
"GO:0016125","BP","GO:0016125","sterol metabolic process","15/638","135/23210",4.80682698716863e-06,0.00248656046619743,0.00208296094534446,"Cyp51/Apoe/Abca1/Cyb5r3/Pmp22/App/Soat2/Cyp26a1/Acadl/Gba/Smpd1/Cftr/Insig1/Fdps/Hmgcs1",15
"GO:0031330","BP","GO:0031330","negative regulation of cellular catabolic process","21/638","247/23210",5.2678346412263e-06,0.00248656046619743,0.00208296094534446,"Hmox1/Hfe/Psen2/Plin5/Atraid/Ddit4/Laptm4b/Dbi/Usp30/Furin/Hp/Anxa2/Myd88/Qsox1/Ptpn3/Bmf/Tspo/Tent5c/Cirbp/Pkp3/Fbp1",21
"GO:0044282","BP","GO:0044282","small molecule catabolic process","24/638","311/23210",6.13182136461409e-06,0.00248656046619743,0.00208296094534446,"Apoe/Pex5/Sardh/Plin5/Pex7/Acox1/Nos2/Eci2/Hacl1/Esd/Bad/Cyp26a1/Echs1/Acadl/Dbi/Adh5/Hmgcl/Akr1a1/Fah/Acat1/Aldh5a1/Nudt18/Haghl/Mlycd",24
"GO:0009132","BP","GO:0009132","nucleoside diphosphate metabolic process","14/638","121/23210",6.17151740256581e-06,0.00248656046619743,0.00208296094534446,"Mlxipl/Ddit4/Pgam2/App/Bad/Ak2/Pkm/Nudt16/Htr2a/Bpgm/Ak7/Entpd3/Nudt18/Fbp1",14
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","28/638","401/23210",7.18862755891995e-06,0.00254149583389158,0.0021289796233459,"Pparg/Acvr1b/Zfp385a/Dnase2a/Gab2/Psen2/Id2/Nfkbia/Zfp36l1/App/Ndfip1/Fam20c/Fam210b/Ctnnbip1/Tgfbr3/Ltbr/Clec2i/Jak3/Anxa2/Rbfox2/Bpgm/Tcta/Gpr68/Gpr55/Klf13/Gpc3/Flvcr1/Zbtb16",28
