"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006281","BP","GO:0006281","DNA repair","58/602","464/23210",2.12454669836988e-23,9.08243713553125e-20,7.53654986684895e-20,"Uhrf1/Foxm1/Chaf1a/Mcm2/Msh6/Mcm5/Pola1/Pole/Tex15/Pwwp3a/Pole2/Esco2/Xrcc6/Hsf1/Prkdc/Smchd1/Dntt/Apex2/Bard1/Mcm8/Ints3/Rad54l/Cdc7/Gtf2h3/Chek2/Aplf/Mbd4/Pold3/Chek1/Usp28/Cgas/Fancd2/Polq/Atm/Brip1/Parpbp/Emsy/Ddx11/Zranb3/Pml/Rmi2/Pold1/Eme1/Fanci/Neil3/Pif1/Rbbp8/Trp53bp1/Palb2/Ticrr/H2afx/Xrcc1/Lig1/Nsd2/Mdc1/Bod1l/Hdac10/Rad54b",58
"GO:0051607","BP","GO:0051607","defense response to virus","38/602","227/23210",4.30583122932493e-20,8.30473917941353e-17,6.89122093804213e-17,"Mx1/Cd40/Irf1/Rsad2/Cxadr/Mx2/Eif2ak2/Irf7/Stat1/Ifih1/Il1b/Zbp1/Cxcl9/Oasl2/Itgax/Trim30a/Tlr3/Il15/Cgas/Oas2/Rtp4/Ifit1/Cxcl10/Slfn8/Isg15/Pml/Ddx60/Oasl1/Tlr9/Ifit2/Bst2/Oas1a/Ddx17/Trim34a/Ifit3b/Oas1g/Ifit1bl2/Ifit3",38
"GO:0009615","BP","GO:0009615","response to virus","41/602","270/23210",5.82788714344809e-20,8.30473917941353e-17,6.89122093804213e-17,"Mx1/Cd40/Irf1/Rsad2/Cxadr/Ivns1abp/Mx2/Eif2ak2/Irf7/Stat1/Ifih1/Il1b/Zbp1/Cxcl9/Oasl2/Itgax/Trim30a/Tlr3/Il15/Cgas/Oas2/Rtp4/Ifit1/Cxcl10/Slfn8/Isg15/Pml/Ddx60/Oasl1/Tlr9/Ifit2/Bst2/Oas1a/Ddx17/Trim34a/Ifit3b/Oas1g/Ifit1bl2/Irgm2/Ifit3/Ifi27l2a",41
"GO:0006302","BP","GO:0006302","double-strand break repair","34/602","220/23210",5.31018308697018e-17,5.67525817419938e-14,4.70929394818145e-14,"Foxm1/Mcm2/Mcm5/Pola1/Tex15/Esco2/Xrcc6/Hsf1/Prkdc/Smchd1/Dntt/Mcm8/Rad54l/Cdc7/Chek2/Aplf/Chek1/Cgas/Polq/Atm/Brip1/Parpbp/Ddx11/Pml/Rmi2/Eme1/Rbbp8/Trp53bp1/Palb2/H2afx/Xrcc1/Lig1/Nsd2/Rad54b",34
"GO:0006310","BP","GO:0006310","DNA recombination","37/602","280/23210",4.16189049046885e-16,3.55841636935087e-13,2.95275177955369e-13,"Mcm2/Msh6/Mcm5/Tex15/Cd40/Chtf18/Top2a/Xrcc6/Prkdc/Smchd1/Apex2/Mcm8/Rad54l/Cdc7/Aplf/Chek1/Cgas/Polq/Atm/Brip1/Parpbp/Zranb3/Rmi2/Eme1/Dcaf1/Pif1/Rbbp8/Trp53bp1/Palb2/Ankle1/H2afx/Xrcc1/Lig1/Nsd2/Rag1/Hdac10/Rad54b",37
"GO:0045088","BP","GO:0045088","regulation of innate immune response","36/602","289/23210",6.80685879675096e-15,4.84988689268506e-12,4.02440599035978e-12,"Rbm14/Med1/Irf1/Havcr2/Rsad2/Acod1/Mettl3/Xrcc6/Prkdc/Cd74/Irf7/Ifi211/Fcnb/Ifih1/Zbp1/Gfi1/Trim30a/Tlr3/Cadm1/Cgas/Parp14/Tap1/Ddx60/Nlrc4/Trafd1/Prkce/Tlr9/Tifa/Irgm1/Tlr11/Slamf8/Ifi205/Irgm2/Ifi204/Nlrc5/Gbp5",36
"GO:0000075","BP","GO:0000075","cell cycle checkpoint","28/602","178/23210",1.97813617340837e-14,1.20807602018869e-11,1.00245397058439e-11,"Cdc6/Top2a/Hsf1/Prkdc/Cep192/Pidd1/Bub1/Ints3/Kntc1/Chek2/Mbd4/Plk1/Chek1/Usp28/Zwilch/Atm/Pml/Ints7/Ttk/Eme1/Trp53bp1/Cenpe/Ticrr/Dot1l/Spdl1/Ccnd1/Sox4/Ptprv",28
"GO:0035456","BP","GO:0035456","response to interferon-beta","17/602","56/23210",3.33678052670469e-14,1.78309209395782e-11,1.47959873355195e-11,"Irf1/Acod1/Stat1/Ifi211/Gbp2/Ifit1/Xaf1/Bst2/Irgm1/Iigp1/Ifi205/Irgm2/Ifi204/Ifit3/Igtp/Ifi47/Gbp6",17
"GO:0045089","BP","GO:0045089","positive regulation of innate immune response","31/602","232/23210",7.78116038316758e-14,3.6960511820046e-11,3.06696029137716e-11,"Rbm14/Med1/Irf1/Havcr2/Rsad2/Acod1/Xrcc6/Prkdc/Cd74/Irf7/Ifi211/Fcnb/Ifih1/Zbp1/Gfi1/Trim30a/Tlr3/Cadm1/Cgas/Ddx60/Nlrc4/Prkce/Tlr9/Tifa/Irgm1/Tlr11/Ifi205/Irgm2/Ifi204/Nlrc5/Gbp5",31
"GO:0007059","BP","GO:0007059","chromosome segregation","36/602","317/23210",1.18981726883148e-13,5.08646882425457e-11,4.22072020627588e-11,"Spag5/Tex15/Ncapg/Cdc6/Chtf18/Top2a/Esco2/Dscc1/Cep192/Nusap1/Knl1/Knstrn/Bub1/Ect2/Cit/Plk1/Mki67/Kif23/Fancd2/Atm/Brip1/Ncaph/Ddx11/Ska1/Rmi2/Ttk/Eme1/Kif14/Spice1/Cenpe/Chtf8/Cdca2/Haspin/Espl1/Numa1/Spdl1",36
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","32/602","258/23210",2.49806630465101e-13,9.70839404762096e-11,8.05596502074057e-11,"Spag5/Tex15/Ncapg/Cdc6/Top2a/Esco2/Dscc1/Cep192/Nusap1/Knl1/Knstrn/Bub1/Ect2/Cit/Plk1/Kif23/Fancd2/Atm/Brip1/Ncaph/Ddx11/Rmi2/Ttk/Eme1/Kif14/Spice1/Cenpe/Chtf8/Haspin/Espl1/Numa1/Spdl1",32
