"","T1_L1","T1_L2","T1_L3","T2_N","T2_R1","T2_R3","T3_L4","T3_R2","T3_R4","SYMBOL"
"ENSMUSG00000000001",3385.98744924778,3102.40807427462,3570.64543614351,3997.26362712319,3911.23996834909,3465.85995661269,5656.78564491056,4811.32782286439,4189.8591413467,"Gnai3"
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,"Pbsn"
"ENSMUSG00000000028",2026.95701691124,2127.90492953,2038.77860514573,1757.41762916623,1825.10149653796,2222.71745370204,1483.71792476844,1541.04994060608,1785.0157868257,"Cdc45"
"ENSMUSG00000000031",5.2675598152579,3.59595256363329,3.42507955505373,3.33475830961334,5.39332593539588,8.53660087835638,11.5499000131675,0,4.38040683883607,"H19"
"ENSMUSG00000000037",1.05351196305158,0,2.5688096662903,1.11158610320445,1.07866518707918,2.13415021958909,2.66536154150019,0.913485441971594,1.09510170970902,"Scml2"
"ENSMUSG00000000049",0,0,0,0,0,0,0,0,0,"Apoh"
"ENSMUSG00000000056",460.38472785354,604.120030690392,571.988285693972,625.822976104103,752.908300581264,310.518856950213,653.013577667546,376.356002092297,455.562311238952,"Narf"
"ENSMUSG00000000058",13.6956555196705,7.19190512726657,12.8440483314515,8.89268882563557,2.15733037415835,2.13415021958909,1.77690769433346,21.0101651653467,25.1873393233074,"Cav2"
"ENSMUSG00000000078",1797.29140896599,1126.43214055813,2414.68108631288,3711.58599859965,4680.32824673654,2253.66263188608,4040.68809691428,1251.47505550108,1883.57494069951,"Klf6"
"ENSMUSG00000000085",145.384650901118,169.009770490764,172.966517530213,152.287296139009,134.833148384897,178.201543335689,174.136954044679,160.773437787001,130.317103455373,"Scmh1"
"ENSMUSG00000000088",1103.027025315,1161.49267805355,1074.61871039811,937.067085001348,974.034663932495,1127.89839105284,1024.38728578324,1083.39373417831,1217.75310119643,"Cox5a"
"ENSMUSG00000000093",7.37458374136105,2.69696442272497,3.42507955505373,1.11158610320445,1.07866518707918,2.13415021958909,8.88453847166729,4.56742720985797,16.4265256456353,"Tbx2"
"ENSMUSG00000000094",1.05351196305158,0,0,0,0,0,0,0,0,"Tbx4"
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,"Zfy2"
"ENSMUSG00000000120",1.05351196305158,7.19190512726657,5.99388922134402,0,0,0,0,0,0,"Ngfr"
"ENSMUSG00000000125",0,0,0,0,0,0,0,0,0,"Wnt3"
"ENSMUSG00000000126",0,0,0,0,0,0,0,0,2.19020341941804,"Wnt9a"
"ENSMUSG00000000127",10.5351196305158,9.88886954999154,12.8440483314515,36.6823414057467,35.5959511736128,8.53660087835638,21.3228923320015,21.9236506073183,9.85591538738116,"Fer"
"ENSMUSG00000000131",2858.17795575893,2894.7418137248,3124.52882409776,3256.94728238903,3046.15048831159,2650.61457272966,4004.26148918045,3262.96999872253,2841.7889366949,"Xpo6"
"ENSMUSG00000000134",520.43490974748,509.726275895018,704.710118452304,837.024335712948,764.773617639135,378.811663977064,736.528239301218,470.445002615371,594.640228371997,"Tfe3"
"ENSMUSG00000000142",4.21404785220632,10.7878576908999,11.1315085539246,40.0170997153601,32.3599556123753,0,0,33.798961352949,1.09510170970902,"Axin2"
"ENSMUSG00000000148",640.53527353536,550.180742235893,510.336853703005,568.020498737472,536.09659797835,662.653643182414,688.551731554215,591.938566397593,606.686347178796,"Brat1"
"ENSMUSG00000000149",1413.81305441522,1326.00750783977,1357.18777369004,1317.22953229727,1188.68903616125,1626.22246732689,1247.38920142209,1562.06010577143,1137.81067638767,"Gna12"
"ENSMUSG00000000154",18.9632153349284,26.0706560863413,18.8379375527955,5.55793051602223,9.70798668371258,12.8049013175346,79.0723923978389,38.366388562807,36.1383564203976,"Slc22a18"
"ENSMUSG00000000157",6163.04498385174,5358.86830795451,6289.30233296741,7972.29553218229,6627.31890941445,6201.84053812591,9366.08045683166,5302.7829906451,3962.07798572723,"Itgb2l"
"ENSMUSG00000000159",9.48160766746421,8.0908932681749,11.1315085539246,22.2317220640889,15.1013126191085,7.46952576856183,18.6575307905013,10.0483398616875,4.38040683883607,"Igsf5"
