"","T3_VS_T1_baseMean","T3_VS_T1_log2FoldChange","T3_VS_T1_lfcSE","T3_VS_T1_stat","T3_VS_T1_pvalue","T3_VS_T1_padj"
"ENSMUSG00000000001",4010.15301343028,0.543370088707302,0.147028827101798,3.69567043020136,0.000219307306483439,0.00486072242461278
"ENSMUSG00000000003",0,NA,NA,NA,NA,NA
"ENSMUSG00000000028",1867.62897591038,-0.365321215684499,0.140733353887393,-2.59583961863659,0.00943600986465745,0.0727441807705476
"ENSMUSG00000000031",5.05373154547934,0.386075577259801,1.1716817822864,0.329505487835119,0.741773646654129,0.908080730016821
"ENSMUSG00000000037",1.40229687026615,0.365926811395085,1.70557682001384,0.214547247066898,0.830120326785574,NA
"ENSMUSG00000000049",0,NA,NA,NA,NA,NA
"ENSMUSG00000000056",534.51945209692,-0.14022819663919,0.317494992078322,-0.441670577923942,0.658727603383766,0.867813228393249
"ENSMUSG00000000058",10.5433545089732,0.503890176781126,0.943593592944738,0.53401186755476,0.593333323389506,0.830918598954815
"ENSMUSG00000000078",2573.30217846379,0.426782532758572,0.406533050873318,1.0498101737159,0.293805396794697,0.595906960786727
"ENSMUSG00000000085",157.545602452083,-0.0658277321581928,0.216476969596473,-0.304086537615986,0.761061962929939,0.914947650873188
"ENSMUSG00000000088",1078.18585276792,-0.00654746207878324,0.1339508728707,-0.0488795775530584,0.961015264156564,0.986684621501883
"ENSMUSG00000000093",5.29994672846367,1.15309652833146,0.957198615787081,1.20465753848097,0.228335534400136,0.522910429816895
"ENSMUSG00000000094",0.117056884783509,-0.917732043687536,4.08045587181216,-0.224909194589565,0.822049916288202,NA
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA
"ENSMUSG00000000120",1.58214514574024,-4.74942739577009,2.63098586118278,-1.80518925085936,0.07104507242872,NA
"ENSMUSG00000000125",0,NA,NA,NA,NA,NA
"ENSMUSG00000000126",0.243355935490893,2.06659280506467,4.02417285281618,0.51354474090705,0.607570322490212,NA
"ENSMUSG00000000127",18.576154366264,0.680219258489861,0.667553047773631,1.01897408866378,0.308215268035962,0.609774417506061
"ENSMUSG00000000131",3104.46459573441,0.187617572705958,0.15910019658455,1.17924161461518,0.23830197965183,0.535706099779662
"ENSMUSG00000000134",613.01048796806,0.0542333152326891,0.298422249245731,0.181733484583556,0.855791886626507,0.950367581013611
"ENSMUSG00000000142",14.822725831936,0.41754586426258,1.52118248326703,0.274487688923304,0.783709863259976,0.924154436867635
"ENSMUSG00000000148",595.000028278122,0.151283191272434,0.159710261306034,0.947235262376462,0.343518910575586,0.643561330991981
"ENSMUSG00000000149",1352.9343728124,-0.0532382266939323,0.173823523417221,-0.306277456855751,0.759393401826689,0.914838682903841
"ENSMUSG00000000154",27.2799738747087,1.26803748561084,0.505136060744896,2.51028897786654,0.0120632397804392,0.0857795704956628
"ENSMUSG00000000157",6360.40133752225,0.065033963000668,0.272107625155606,0.239000884166617,0.811104897141409,0.934538831320698
